Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
1989814106816389208,"Sat, Nov 15, 2025","Four police officers were shot earlier today near Carbondale, Kansas. The male suspect was shot and killed during the incident. https://t.co/8EzV4ERX1D",https://x.com/newsnoteworthy/status/1989814106816389208,271,4,15,0,0,0,0,0,1,8,0,0,0
1989508514835042429,"Sat, Nov 15, 2025","U.S. President Donald Trump has withdrawn his support and endorsement of Georgia Republican Congresswoman Marjorie Taylor Green (MTG), citing what he deems to be her shift to the “Far Left.” https://t.co/mLdN9Yh7kU",https://x.com/newsnoteworthy/status/1989508514835042429,8965,21,1006,6,22,1,3,7,15,88,0,0,0
1989132953528524872,"Fri, Nov 14, 2025","@NewsWire_US It was first detected on October 29th, in which initial monitoring and response occurred shortly thereafter. https://t.co/SnId24JNyc",https://x.com/newsnoteworthy/status/1989132953528524872,4258,12,226,0,0,0,0,0,2,13,1,0,0
1989100062346211442,"Thu, Nov 13, 2025","@elonmusk When making posts within the past few days, I have not received any notification or blue number next to the bell indicating a notification. When actually checking the bell, I have to first refresh 1-2 times &amp; then it’ll appear. Only getting DM push notifications, also.",https://x.com/newsnoteworthy/status/1989100062346211442,3353,10,28,0,0,0,0,0,5,13,0,0,0
1989097856821833810,"Thu, Nov 13, 2025","BREAKING: “Operation SOUTHERN SPEAR” announced by Secretary of War Pete Hegseth. “This mission defends our Homeland, removes narco-terrorists from our Hemisphere, and secures our Homeland from the drugs that are killing our people.” https://t.co/CQldrtRS0q",https://x.com/newsnoteworthy/status/1989097856821833810,391,2,18,0,0,0,0,3,2,8,0,0,0
1989081620754899295,"Thu, Nov 13, 2025",UPDATE: Laney College Athletic Director John Beam shot during ‘shooting incident’ on Oakland campus. — ABC7,https://x.com/newsnoteworthy/status/1989081620754899295,786,3,14,0,0,0,0,3,0,8,0,0,0
1989070515735286245,"Thu, Nov 13, 2025","BREAKING: Active shooter reported on the Laney College campus in Oakland, California. https://t.co/wOxOBLbdhy",https://x.com/newsnoteworthy/status/1989070515735286245,1268,2,15,0,0,0,1,2,2,3,0,0,0
1988760183548571858,"Thu, Nov 13, 2025",The Turkish Ministry of Defense has announced that all 20 soldiers onboard the C-130 military transport aircraft were killed after it crashed on the border of Azerbaijani and Georgia on Tuesday. Authorities have recovered the bodies of 18 of the 20 soldiers thus far. https://t.co/0YGrzy7dLq,https://x.com/newsnoteworthy/status/1988760183548571858,502,2,25,1,0,0,1,1,1,4,0,0,0
1988370463861731715,"Tue, Nov 11, 2025","Cleto Escobedo III, bandleader of Cleto and the Cletones on Jimmy Kimmel’s late night show, has died at 59. Escobedo had led the show’s band since its 2003 debut and had been a close friend of Jimmy Kimmel for over two decades. No cause of death has been released at this time. 🕊️ https://t.co/E90yUDBDrL",https://x.com/newsnoteworthy/status/1988370463861731715,1811,6,99,0,1,0,0,3,4,12,0,0,0
1988237547785335033,"Tue, Nov 11, 2025",BREAKING: C-130 military transport aircraft belonging to the Turkish Air Force crashes in Georgia following a mid-air disintegration after take off from Azerbaijan earlier today. Search and rescue operations are underway. https://t.co/o00rar6FOC,https://x.com/newsnoteworthy/status/1988237547785335033,1200,4,14,0,0,0,0,1,1,6,0,0,0
1988030816048353611,"Mon, Nov 10, 2025","Update: 20 patients hospitalized, including 3 with major injuries, following bus rollover incident near Fredalba, California. The bus was carrying a mix of juvenile and adult passengers returning from a camp trip.",https://x.com/newsnoteworthy/status/1988030816048353611,391,4,21,0,0,0,0,4,3,10,0,0,0
1987763096547467390,"Mon, Nov 10, 2025","JUST IN: Bus overturns on Highway 330 near Fredalba in San Bernardino County, California, at least 29 occupants injured per county fire department. https://t.co/sHRK3HdIAa",https://x.com/newsnoteworthy/status/1987763096547467390,1505,11,161,3,3,0,2,4,8,38,0,0,0
1987747585344331811,"Mon, Nov 10, 2025","BREAKING: President Trump pardons Rudy Giuliani, John Eastman, Mark Meadows, Christina Bobb, Boris Epshteyn, and multiple GOP electors accused of taking part in efforts to overturn the 2020 election results, per pardon attorney Ed Martin. https://t.co/H2Yy8eYmJ3",https://x.com/newsnoteworthy/status/1987747585344331811,696,12,52,0,0,0,2,5,5,13,0,0,0
1987650697144229998,"Sun, Nov 9, 2025","Flight Nurse/Paramedic Allan Williams has passed away following an aircraft accident in which Vanderbilt LifeFlight 1 went down in an unpopulated area of Wilson County, Tennessee. The helicopter’s pilot and critical care flight paramedic were seriously injured and remain https://t.co/urEf7bg4vX",https://x.com/newsnoteworthy/status/1987650697144229998,673,5,30,0,0,0,1,3,1,17,0,0,0
1987315260559167965,"Sun, Nov 9, 2025","WATCH: Tampa Police helicopter footage shows the police pursuit that led up to 22-year-old suspect Silas Sampson losing control and crashing his vehicle into a Ybor City bar, killing 4 people and injuring at least 13 others. https://t.co/NTPqp1LRKD",https://x.com/newsnoteworthy/status/1987315260559167965,1700,5,41,1,0,0,1,2,2,29,0,0,0
